,movie_title,closeness
0,Warrior,0.2929114569477698
1,Vantage Point,0.28966110963317665
2,Zero Dark Thirty,0.28639228813809825
3,Zombieland,0.2848526499364488
4,You Kill Me,0.2830994502083888
5,War,0.28223818391416156
6,Virtuosity,0.2806615973515413
7,Wanderlust,0.2763763264461588
8,Whatever Works,0.26869328426591
9,White Chicks,0.2686906978806421
10,U2 3D,0.2664176347137241
11,War of the Worlds,0.2650720985683742
12,Zero Effect,0.26434150631078
13,Young Frankenstein,0.2640451804557949
14,Underworld: Rise of the Lycans,0.26369232360852474
15,Whiplash,0.26345548461470253
16,Zathura: A Space Adventure,0.2623721586710413
17,This Is the End,0.2620115426679673
18,The Warrior's Way,0.262007232025854
19,Tropic Thunder,0.26101652330702624
20,Unfriended,0.26093412846206143
21,The Wraith,0.26007175371700514
22,Wall Street: Money Never Sleeps,0.25993541426502326
23,The Proposal,0.2593715822766104
24,Woman in Gold,0.25895037096154416
25,What's Your Number?,0.25894667612544703
26,Wrath of the Titans,0.25886908456740854
27,Walking Tall,0.25829564600514315
28,The Siege,0.25811829387248386
29,Valkyrie,0.25781494782891423
30,Young Guns,0.2570719162897934
31,Wild Wild West,0.2567951730661226
32,Titanic,0.25634920634920627
33,Waterloo,0.25620991102834684
34,Videodrome,0.2557853743607934
35,What Happens in Vegas,0.25516907569980185
36,Wish I Was Here,0.2546163282196802
37,Valiant,0.2544689042594071
38,WarGames,0.25440276669326944
39,Winter's Tale,0.25386369010670673
40,Vertical Limit,0.25372919807277344
41,xXx: State of the Union,0.25370444267092307
42,Wag the Dog,0.2535584966450889
43,You Only Live Twice,0.25343545860305633
44,Two Lovers,0.25343508911944673
45,Whiteout,0.2532847092902958
46,What Lies Beneath,0.25311659424787913
47,The Shawshank Redemption,0.25303937217345035
48,Warcraft,0.25290340220507823
49,The Notebook,0.25269870828530056
50,Zookeeper,0.2525438946528332
51,Wild Target,0.2522107435980805
52,Wyatt Earp,0.2520103603204161
53,The Karate Kid,0.251593213325057
54,The Whole Nine Yards,0.2514494842008809
55,Twilight,0.2512669592976857
56,Untraceable,0.25122446868256926
57,There's Something About Mary,0.2511616564689189
58,When the Game Stands Tall,0.250809908072478
59,Supernova,0.2507034967928823
60,Wanted,0.2501592474357839
61,Stormbreaker,0.24966598681682486
62,Without a Paddle,0.24946609618397347
63,"You, Me and Dupree",0.24930093701043415
64,Woman Thou Art Loosed,0.2492795069610711
65,Walk Hard: The Dewey Cox Story,0.2492703930320318
66,When Harry Met Sally...,0.24922864138413486
67,Whatever It Takes,0.24886790221985755
68,The Shadow,0.2488642073837605
69,Up in the Air,0.24879843930123258
70,The Skeleton Key,0.2485209571103426
71,The Monkey King 2,0.24849435429044361
72,Wonderland,0.24849213738878548
73,The Martian,0.2484492772900595
74,Vacation,0.24843794645936176
75,Y Tu Mamá También,0.24836097070733945
76,Zack and Miri Make a Porno,0.24820837397653042
77,"War, Inc.",0.24805319086045344
78,Winter's Bone,0.2480092223108981
79,Whip It,0.2479549082202713
80,The Rage: Carrie 2,0.24789061807218232
81,The Hobbit: The Desolation of Smaug,0.24776019035795563
82,Walking With Dinosaurs,0.24774701210920952
83,Warm Bodies,0.24774023824303157
84,The Thief and the Cobbler,0.2474856640359434
85,War Horse,0.24740548609263696
86,The Sweet Hereafter,0.2473796222399575
87,Vanity Fair,0.24722739499275806
88,R.I.P.D.,0.24654692934488093
89,The Verdict,0.24648399397002752
90,Veer-Zaara,0.24642943355699395
91,White House Down,0.24610539643128101
92,Troll Hunter,0.24607793148295934
93,Transformers: Age of Extinction,0.24600994649877342
94,Twins,0.2459936892199462
95,Victor Frankenstein,0.24596671691643762
96,X-Men: Days of Future Past,0.24581264225118957
97,Water for Elephants,0.24580673051343446
98,Mean Streets,0.2457272915373475
99,The Saint,0.2456031450444857
100,The Deep End of the Ocean,0.24556028494575977
101,Winter in Wartime,0.24552641561486993
102,Special,0.24551927226508233
103,Tucker and Dale vs Evil,0.24546089385474867
104,X-Men: Apocalypse,0.24536815346871213
105,Tora! Tora! Tora!,0.24517983998896473
106,World War Z,0.24508365108923774
107,Triple 9,0.24503857408885343
108,Winter Passing,0.24472672992226072
109,The Craft,0.24469680174987438
110,Willy Wonka & the Chocolate Factory,0.24466588828786215
111,The Covenant,0.24465320268392873
112,Why Did I Get Married Too?,0.24451279891224023
113,Sliding Doors,0.24450356182199756
114,The Sentinel,0.2444544205019066
115,The Woman in Black,0.24440343176376692
116,Tomorrow Never Dies,0.24436389701752828
117,The Big Year,0.24431032189412083
118,They Live,0.2441846974668203
119,Nighthawks,0.24398185096509115
120,The Losers,0.24394675002216903
121,Pitch Perfect,0.24366113919186547
122,The Road to El Dorado,0.243590937306021
123,Tsotsi,0.24356113229483806
124,Zoom,0.24349277782704232
125,Wild Things,0.2434723330673051
126,Trainwreck,0.24342627077729495
127,The Twilight Saga: Eclipse,0.24336074901717347
128,TRON: Legacy,0.24326172740977203
129,St. Vincent,0.2430870848235839
130,The Sweeney,0.24308400579350303
131,The Birth of a Nation,0.24308326682628353
132,The Haunted Mansion,0.24306368419496907
133,Waterworld,0.24306011252007528
134,Welcome to the Sticks,0.24302193254707213
135,Whale Rider,0.24294778950272447
136,Transcendence,0.2429378134452622
137,Righteous Kill,0.24282758416836633
138,The Wizard of Oz,0.24266661247573723
139,We Need to Talk About Kevin,0.24233284561496848
140,Why Did I Get Married?,0.242229020720641
141,Young Adult,0.24218591429950828
142,Thunderball,0.24201927719153055
143,The Heat,0.24186594149350196
144,The Prince,0.2418007892169903
145,The Specialist,0.24176679672489723
146,The Signal,0.24174943099524104
147,The Remains of the Day,0.2416965948390528
148,The Hateful Eight,0.2416810765274454
149,The Curious Case of Benjamin Button,0.24162158966628236
150,The Lawnmower Man,0.24160015961691936
151,The Little Prince,0.2415561910673642
152,Treasure Planet,0.24155508261653505
153,The Ninth Gate,0.24149337885371414
154,The Shining,0.2414896840176171
155,Tower Heist,0.24146936241908293
156,The Wind That Shakes the Barley,0.24140187007970992
157,The Passion of the Christ,0.2413300670982236
158,Winnie the Pooh,0.24131122343412842
159,Vampires Suck,0.24130210950508918
160,To Die For,0.24118892435931538
161,Waitress,0.24113621136433055
162,The Visit,0.2411151507985774
163,V for Vendetta,0.2410640388992345
164,The Prestige,0.24070933463391542
165,The Barbarian Invasions,0.2405186810913068
166,The Ugly Truth,0.2404988521375859
167,Tupac: Resurrection,0.24048702866207508
168,The Homesman,0.2403935493088193
169,Valentine's Day,0.24033849625097295
170,Star Wars: Episode I - The Phantom Menace,0.2403158345895777
171,Undiscovered,0.2403040111140669
172,The Shallows,0.2402563477284147
173,The Adventures of Ford Fairlane,0.24018996383987073
174,Sparkle,0.24012111672726202
175,Saving Silverman,0.240107568994906
176,Sense and Sensibility,0.239981082439183
177,The Lazarus Effect,0.23988772624713017
178,The Return of the Pink Panther,0.2398377227986166
179,The Cell,0.23946860867251937
180,The Village,0.23945752416422797
181,Toy Story,0.23943904998374263
182,The Mechanic,0.23941774309558295
183,Rumble in the Bronx,0.2393359640566345
184,The Purge: Anarchy,0.2392857142857142
185,The To Do List,0.23928349738405602
186,Under Siege 2: Dark Territory,0.23924765747391447
187,This Is Where I Leave You,0.23918312100341885
188,State of Play,0.2391541781206585
189,The Spanish Prisoner,0.2391224025302238
190,The Monuments Men,0.23910097248086093
191,The Railway Man,0.23908249830037542
192,Slackers,0.23900022661661396
193,Serendipity,0.23893913865980917
194,Yogi Bear,0.2389366754357443
195,Under the Rainbow,0.2388986186239446
196,Unbreakable,0.238823120806361
197,Nightcrawler,0.23881462268333778
198,Serenity,0.23871707901037506
199,The Smurfs,0.23870020592553168
200,This Means War,0.23853603204161866
201,Philomena,0.2384743282787975
202,The Extra Man,0.23814622683337763
203,X2,0.23814179303006114
204,The Dark Knight,0.2380069315125183
205,The Shaggy Dog,0.2377889361827909
206,Hannah Montana: The Movie,0.2377283408707991
207,The Virgin Suicides,0.23760973663208296
208,Unleashed,0.23751404037716886
209,Speed Racer,0.23740245632703721
210,Sky Captain and the World of Tomorrow,0.2373991309745498
211,We're the Millers,0.23738410530775522
212,The Island of Dr. Moreau,0.2372849605391504
213,The Fountain,0.2371970234400402
214,The Untouchables,0.23714135457617777
215,Zodiac,0.23706622624220386
216,The Great Gatsby,0.23705378696067705
217,Turbulence,0.2370449193540441
218,Tomorrowland,0.23700341402855374
219,"The Good, the Bad and the Ugly",0.23698826520055574
220,The Man from Snowy River,0.2369254529869054
221,Torque,0.23691289054417536
222,The Sea Inside,0.23690402293754234
223,Herbie Fully Loaded,0.2368681830274009
224,The Valley of Decision,0.23686756722138477
225,The In Crowd,0.23682569241228477
226,The Phantom of the Opera,0.23681793325648076
227,We Bought a Zoo,0.23680290758968586
228,Swordfish,0.23675290414117237
229,Two Girls and a Guy,0.23668615076901858
230,The Amazing Spider-Man,0.23661385514271924
231,Virgin Territory,0.23655523040997897
232,Skyfall,0.23655412195914988
233,Tumbleweeds,0.23642997546628808
234,The Princess Diaries,0.2363901943976431
235,The Day After Tomorrow,0.23636174415969566
236,The Game Plan,0.2362899411782093
237,The Terminator,0.23626998906328509
238,The Age of Innocence,0.23617293803513542
239,The Abyss,0.236153355403821
240,West Side Story,0.23601319795453876
241,The Right Stuff,0.23597218527386124
242,The Midnight Meat Train,0.23589557900544864
243,The Messenger: The Story of Joan of Arc,0.23580382390903815
244,The Insider,0.2357841181165204
245,The Time Machine,0.2357827633432847
246,Zoolander 2,0.2357809159252362
247,Stomp the Yard,0.23575862374745057
248,Toy Story 2,0.23563755628466979
249,The Way Way Back,0.23558459696727857
250,The Simpsons Movie,0.23557277349176786
251,The Happening,0.23555245189323407
252,What to Expect When You're Expecting,0.23551574985466966
253,Unforgiven,0.23548754593912868
254,Unknown,0.23548077207295087
255,The Hangover Part II,0.23547079601548876
256,The Ring Two,0.2354251032090884
257,Set It Off,0.23528913324071604
258,The Golden Child,0.2352797729892702
259,Ray,0.2352672105465401
260,The Story of Us,0.23516572571507405
261,Skyline,0.2350681820421112
262,The Water Diviner,0.23505771333983635
263,The Time Traveler's Wife,0.2350318494871567
264,Two Brothers,0.2349724857871972
265,Panic Room,0.2349562285083699
266,The Lizzie McGuire Movie,0.23492519188515465
267,The Avengers,0.23488368655966405
268,Swingers,0.23483121988708575
269,While We're Young,0.23481582473668136
270,"Surfer, Dude",0.23479993694146403
271,The International,0.2347961189441636
272,The Diving Bell and the Butterfly,0.23477210250953268
273,The Boat That Rocked,0.23471224616476005
274,You Don't Mess with the Zohan,0.23469561940232328
275,Modern Times,0.2346857665060645
276,Wreck-It Ralph,0.2346025095326771
277,Rounders,0.2345411752534657
278,World Trade Center,0.234538712029401
279,The Pianist,0.23446838698235342
280,The Red Violin,0.23443020700935047
281,The Hangover,0.2344288522361148
282,Mad Max: Fury Road,0.2344171519218075
283,Wild,0.2343915343915344
284,The Skulls,0.23428623156276804
285,Random Hearts,0.2342819209206545
286,True Lies,0.23426480151340487
287,The Firm,0.2342399229503511
288,Meet the Deedles,0.23423967662794484
289,No End in Sight,0.2341947227887636
290,The Station Agent,0.23417501699624607
291,The 40 Year Old Virgin,0.23414213295498215
292,Ghost,0.23408831150916823
293,Where the Heart Is,0.23408375454464833
294,Parental Guidance,0.23406281714009833
295,The Cookout,0.2340528410826362
296,The Sessions,0.23405062418097802
297,Training Day,0.2340146611096331
298,Source Code,0.23401035046751995
299,The Final Destination,0.23398879725695368
300,The November Man,0.23397894436069488
301,Underworld: Evolution,0.2338695772122216
302,"O Brother, Where Art Thou?",0.23386354231326306
303,The Marine,0.23386329599085637
304,Up,0.23385578315745903
305,The Thirteenth Floor,0.23381477047678176
306,The Crow,0.2336972746888949
307,Raising Victor Vargas,0.23359566669622545
308,To Rome with Love,0.23359492772900592
309,The Boondock Saints,0.23359123289290895
310,Paul,0.2335731281960333
311,Patch Adams,0.23347632349029007
312,The Fugitive,0.23343802035608377
313,Metallica: Through the Never,0.23343802035608371
314,Movie 43,0.2333743460140108
